	MET	FGFR1	IGF1R	PDGFRB	PDGFRA	ERBB3	EGFR
EFM19_BREAST	5.31869	5.74289	9.31341	4.43792	3.38542	10.48707	5.88288	
SKBR3_BREAST	6.56338	5.15570	6.30543	4.72156	3.18095	10.52114	7.09507	
BT474_BREAST	7.33105	6.86176	8.90829	4.55446	3.38968	10.05723	5.47873	
AU565_BREAST	8.66094	5.19697	7.31013	4.47496	3.48820	10.67227	7.58452	
HCC1954_BREAST	9.55268	5.24860	7.50887	4.48321	3.53508	8.76546	6.69958	
CHL1_SKIN	9.29240	7.98946	8.31940	4.59433	3.23299	11.42326	4.91318	
FADU_UPPER_AERODIGESTIVE_TRACT	8.78958	5.24781	8.28649	4.22145	3.36956	8.35472	7.98681	
PC14_LUNG	10.10633	5.17347	8.10359	4.53721	3.88882	9.49330	7.96772	
HCC827_LUNG	10.65550	5.98998	7.34758	4.33234	3.60060	8.23999	10.51047	
HCC4006_LUNG	10.21902	6.25198	7.91031	4.16649	3.49745	8.72356	7.97252	
CALU3_LUNG	10.05078	6.64821	8.08322	4.39697	3.53906	9.80869	6.73361	
NCIH358_LUNG	9.86908	5.58185	8.54467	4.44917	3.73890	8.39552	6.34259	
NCIH1648_LUNG	11.55771	4.87070	9.25211	4.55228	3.49934	9.32791	7.70646	
NCIH1666_LUNG	8.35310	5.34950	8.30616	4.48862	3.76774	9.27062	7.40025	
EBC1_LUNG	12.75673	5.99881	5.75391	4.35978	3.45951	7.69801	7.43370	
NCIH1703_LUNG	8.25933	9.57814	4.89099	4.51548	12.79577	4.69302	7.26890	
A204_SOFT_TISSUE	4.73543	10.90807	4.61744	4.28938	11.38027	5.34721	5.19430	
RT112_URINARY_TRACT	8.93561	4.95867	8.75667	4.30169	3.46538	9.84489	7.60623	
RT4_URINARY_TRACT	7.09859	5.14974	9.04085	4.75887	3.60493	9.66685	7.03752	
KELLY_AUTONOMIC_GANGLIA	6.52203	6.33647	8.30294	6.40134	6.10808	4.49509	5.56473	
NCIH2228_LUNG	10.19581	8.29253	7.42061	4.21025	3.14875	5.27068	7.80854	
A375_SKIN	8.01906	6.80566	8.66113	4.77762	4.41676	11.33407	5.66558	
MALME3M_SKIN	8.97334	7.47661	8.62548	4.64766	3.58792	11.20767	5.23813	
COLO201_LARGE_INTESTINE	8.76028	5.28365	9.48228	4.27140	3.37401	10.14966	6.79175	
