Condition,CellLine,Akt,Erk,GSK,cJun,JNK,P38,Viab
Null Null,2,195655.1589,113.7701059,810.6120047,950.8630836,41.5,111.5,1.0057
Null Null,2,187500.9862,138.0670611,890.0394477,1094.18146,73.5,119,0.9597
Null Null,2,187128.6198,99.66152689,705.6224144,939.7329823,48,95,1.0704
Null TGF,2,209141.9077,109.460516,827.3064894,1313.037529,53,161.5,1.1024
Null TGF,2,259889.1677,234.2116269,1002.195734,1611.773317,69,115,0.9651
Null TGF,2,210641.213,138.838144,776.8542199,1201.589331,84,167.5,1.1013
Null HRG,2,202515.4746,92.84731774,980.4848693,1712.087345,80.5,101,1.2969
Null HRG,2,233762.718,116.2790698,1606.558866,1681.958576,57.5,146,1.1785
Null HRG,2,204151.6854,269.6629213,1543.539326,954.588015,128,174.5,1.3986
Null IGF,2,211477.2252,137.9022148,934.496448,688.9887171,50,154.5,1.0237
Null IGF,2,199576.7517,174.1595788,1043.438639,688.0315917,93,161,0.9024
Null IGF,2,199286.8128,196.0784314,1201.941561,710.7843137,52,149,0.9807
Null PDGF,2,153184.9711,154.1425819,622.8323699,627.6493256,67.5,153,0.9715
Null PDGF,2,174410.609,166.9941061,678.2907662,694.9901768,127.5,184.5,0.8862
Null PDGF,2,193183.0495,61.91950464,513.254644,638.0611455,81.5,140.5,0.9529
Null EGF,2,236644.7368,159.4896332,1332.236842,1925.338915,60.5,155,1.1817
Null EGF,2,238291.6829,160.0937134,1220.714565,1766.399844,96,175.5,1.0514
Null EGF,2,247486.9425,136.6010446,1093.310566,1761.249498,74.5,93,1.0976
Null HGF,2,187276.8879,215.4843631,349.446987,1120.804729,88,170.5,1.1854
Null HGF,2,197824.9788,59.47323704,1090.165675,1178.313509,105,114.5,1.0894
Null HGF,2,200538.9344,243.852459,711.5778689,888.8319672,83,119.5,1.1087
Null HBEGF,2,200585.7354,151.5151515,597.2838137,1429.693274,34,111,1.0614
Null HBEGF,2,163743.3359,99.00990099,1041.984006,1743.621478,94,134.5,0.9987
Null HBEGF,2,179355.5054,248.0270575,502.1608418,1382.468997,62,123,0.9768
Lapatinib Null,2,2296.26656,138.4985949,387.8964271,601.6659976,47.5,142.5,0.2417146
Lapatinib Null,2,2030.943987,137.0936154,331.4727771,694.7708578,64,108,0.2318601
Lapatinib Null,2,2330.899308,149.8847041,306.0146042,631.7255957,70,127,0.2515691
Lapatinib TGF,2,1913.561393,116.0659743,368.4331093,335.5986561,75,90.5,0.43985925
Lapatinib TGF,2,2229.556289,126.5126513,185.6435644,346.0762743,61,101.5,0.4227078
Lapatinib TGF,2,1675.521822,223.9089184,195.9203036,360.056926,52,91,0.4570107
Lapatinib HRG,2,180497.3609,174.5838408,1285.525782,466.4027609,52,135,1.098542
Lapatinib HRG,2,177637.6147,241.8682235,974.2493745,591.6388657,66,188,1.043056
Lapatinib HRG,2,169660.4579,124.1753977,1026.872332,368.1606519,77,136,1.154028
Lapatinib IGF,2,6757.498171,100.5852231,331.4740307,555.5047549,79,80,0.2971901
Lapatinib IGF,2,5299.702159,152.6433358,192.2002978,375.5584512,71,151,0.2848567
Lapatinib IGF,2,6324.148488,145.4267126,306.6398775,366.9154229,73,142,0.3095235
Lapatinib PDGF,2,3113.738739,60.06006006,129.9737237,209.740991,54,135,0.23703765
Lapatinib PDGF,2,3424.855491,218.8274154,246.1808423,317.4029727,35,98,0.2146661
Lapatinib PDGF,2,5151.956703,141.5487094,314.8417985,255.5162365,79,122,0.2594092
Lapatinib EGF,2,4323.701843,159.1289782,232.9355109,300.9840871,69.5,128,0.47021665
Lapatinib EGF,2,12334.06114,117.9039301,199.2358079,359.7161572,51,129,0.4186975
Lapatinib EGF,2,3912.771285,231.6360601,488.8355593,91.29799666,125,106,0.5217358
Lapatinib HGF,2,3787.878788,182.6484018,232.9804898,352.324616,87,115,0.3140037
Lapatinib HGF,2,4512.195122,124.0181893,420.1116164,259.9214551,69,170,0.3359109
Lapatinib HGF,2,6003.687014,200.7374027,244.2646456,222.7570668,86,120,0.2920965
Lapatinib HBEGF,2,10831.43075,19.02587519,242.1042618,475.1712329,59,114,0.38112035
Lapatinib HBEGF,2,3034.170441,142.0337587,220.7698641,497.6327707,62,117,0.4121711
Lapatinib HBEGF,2,4107.65896,158.9595376,188.3128613,411.3981214,73.5,128,0.3500696
