Condition,CellLine,Akt,Erk,GSK,cJun,JNK,P38,Viab
Null Null,4,5976,58,61.5,633,29,63,3471.5
Null Null,4,6740,66,50,672,28,78.5,4632
Null Null,4,7377,75,57,854.5,29.5,90.5,7230
Null EGF,4,4105.5,71,43.5,814,31,87,5938
Null EGF,4,4360,62,49,890,36,89,9330
Null EGF,4,4594,59,50,917.5,37.5,87,8089.5
Null HGF,4,8328,58,50,722.5,22.5,84,6237.5
Null HGF,4,9231,73,77,772,32,110.5,7373.5
Null HGF,4,9323,73,61,770,31,96,7493
Null IGF,4,8447.5,63,51,696.5,30,85.5,6405
Null IGF,4,8875.5,64,51,687,31,93,6170
Null IGF,4,8619,66,47,726.5,33,84,6204
Null PDGF,4,3712,60,49,558,33,73.5,6341
Null PDGF,4,3500.5,58,36,428,29,65,6466
Null PDGF,4,3822.5,61,48,495,29,75,6536.5
Null HRG,4,9208,58,65,831.5,33,86,6057.5
Null HRG,4,9930,59,67,723.5,29,94,4692
Null HRG,4,9742,59,64,699.5,32,87,5698
Null FGF,4,3539,76.5,51,647,34,78,4736.5
Null FGF,4,4094,81.5,50,738,36,91.5,6717.5
Null FGF,4,3837,72,47,641,32,92,7968.5
Erlot Null,4,1016,49,44,385,35,83,2549
Erlot Null,4,964,54.5,54,399,36,105,2003
Erlot Null,4,990,54,51,375,35,90,1477
Erlot EGF,4,1083,51,35.5,259,29,77,2194.5
Erlot EGF,4,1225.5,45.5,41.5,294,33,77,2441.5
Erlot EGF,4,911.5,45,44,290,31,78,1255
Erlot HGF,4,6333,58,57,688,34,94.5,5212.5
Erlot HGF,4,6198,53,59,753.5,34,98,4223
Erlot HGF,4,6756.5,62,60.5,752,33,98,4437
Erlot IGF,4,3764,53,45.5,440.5,28,95.5,2787
Erlot IGF,4,3725,47,64.5,483,30,109,2961.5
Erlot IGF,4,3815,50,56,456,34,110,3331
Erlot PDGF,4,1874,53,38,224.5,28.5,73,2422
Erlot PDGF,4,1162,38,36,229.5,25.5,80,1861
Erlot PDGF,4,1044.5,38.5,36,269,29,77,2868.5
Erlot HRG,4,1172,41,31,237,26,63,2169.5
Erlot HRG,4,1062,41,45.5,336.5,30,91,2137.5
Erlot HRG,4,961,38,36,244,28,68,2202.5
Erlot FGF,4,1083,55,47,300,31.5,79,2702.5
Erlot FGF,4,1179.5,46,36,332,30,82.5,2846.5
Erlot FGF,4,778.5,38,39,287.5,27.5,90,2848
