Condition,CellLine,Akt,Erk,GSK,cJun,JNK,P38,Viab
Null Null,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Null TGF,1,1.64,1.38,1.10,10.92,1.26,1.18,0.79
Null HRG,1,2.00,1.46,2.05,14.05,1.24,1.00,0.72
Null IGF,1,0.56,1.34,0.56,4.06,1.16,1.09,1.01
Null PDGF,1,0.40,0.94,0.32,4.03,1.28,1.08,1.02
Null EGF,1,1.72,0.84,1.24,14.14,1.02,1.02,0.73
Null HGF,1,0.79,1.36,0.77,7.11,1.32,1.33,0.99
Null HBEGF,1,1.71,1.52,1.54,16.82,0.71,1.09,0.83
Lapatinib Null,1,0.02,1.10,0.10,0.01,1.00,1.20,0.39
Lapatinib TGF,1,0.02,1.08,0.35,1.71,0.98,1.21,0.54
Lapatinib HRG,1,1.29,1.28,0.98,1.41,1.18,1.13,1.12
Lapatinib IGF,1,0.02,1.18,0.16,0.41,1.10,1.23,0.43
Lapatinib PDGF,1,0.01,1.53,0.05,1.41,1.36,1.31,0.42
Lapatinib EGF,1,0.04,1.60,0.02,3.09,1.48,1.13,0.50
Lapatinib HGF,1,0.19,1.71,0.14,1.67,1.31,1.24,0.47
Lapatinib HBEGF,1,0.04,1.64,0.12,2.03,1.37,1.00,0.48
Null Null,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Null TGF,2,1.19,1.37,1.08,1.38,1.26,1.36,1.07
Null HRG,2,1.12,1.36,1.72,1.46,1.63,1.29,1.25
Null IGF,2,1.07,1.45,1.32,0.70,1.20,1.43,0.95
Null PDGF,2,0.91,1.09,0.75,0.66,1.70,1.47,0.95
Null EGF,2,1.27,1.30,1.52,1.83,1.42,1.30,1.10
Null HGF,2,1.03,1.48,0.89,1.07,1.69,1.24,1.14
Null HBEGF,2,0.95,1.42,0.89,1.53,1.17,1.13,1.02
Lapatinib Null,2,0.01,1.21,0.43,0.65,1.11,1.16,0.24
Lapatinib TGF,2,0.01,1.33,0.31,0.35,1.15,0.87,0.44
Lapatinib HRG,2,0.93,1.54,1.37,0.48,1.20,1.41,1.10
Lapatinib IGF,2,0.03,1.13,0.35,0.43,1.37,1.15,0.30
Lapatinib PDGF,2,0.02,1.20,0.29,0.26,1.03,1.09,0.24
Lapatinib EGF,2,0.04,1.45,0.38,0.25,1.51,1.12,0.47
Lapatinib HGF,2,0.03,1.44,0.37,0.28,1.48,1.24,0.31
Lapatinib HBEGF,2,0.03,0.91,0.27,0.46,1.19,1.10,0.38
Null Null,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Null EGF,3,1.21,1.27,1.07,1.49,0.90,0.89,0.87
Null HGF,3,1.19,0.66,1.67,1.39,1.17,0.94,0.93
Null IGF,3,1.35,1.29,2.65,1.26,1.61,1.23,0.98
Null PDGF,3,1.10,1.17,1.27,1.01,1.01,1.24,1.10
Null HRG,3,1.32,1.54,3.29,1.22,1.40,1.28,0.94
Null FGF,3,1.15,1.58,2.13,1.04,1.25,1.29,1.10
Erlot EGF,3,1.14,0.95,1.15,0.44,1.01,1.36,0.22
Erlot HGF,3,1.31,0.99,1.93,0.69,0.97,1.55,0.59
Erlot IGF,3,1.34,0.60,1.35,0.67,1.34,1.25,0.33
Erlot PDGF,3,0.89,0.95,1.32,0.50,1.15,1.52,0.25
Erlot HRG,3,1.24,0.95,0.77,0.41,0.98,1.57,0.29
Erlot FGF,3,0.84,2.11,1.50,0.79,2.81,2.44,0.61
Erlot Null,3,1.14,1.22,1.10,0.55,1.30,1.41,0.24
H Null,4,1,1,1,1,1,1,1
H EGF,4,0.647306598,0.827640251,0.76945253,1.138526855,1.202813797,1.25718124,1.320434727
H HRG,4,1.440622297,0.681426003,1.073241599,0.968545932,1.041955528,1.326746237,0.929801998
H PDGF,4,0.545788464,0.854692379,0.865850745,0.698089116,1.190440808,0.849482296,1.093517249
H IGF,4,1.293296895,1.058331282,1.002644101,1.103291242,1.28333795,1.581953258,1.061605212
H FGF,4,0.567601449,1.613398597,1.048036349,1.108643515,1.51519917,1.652513553,1.097983238
H HGF,4,1.340433,1.0507637,1.105182843,1.052225402,0.972451163,1.704624123,1.193040971
H Erlot Null,4,0.141370708,0.574446126,0.96718378,0.506182175,1.469109989,1.722628554,0.372698108
H Erlot EGF,4,0.153906906,0.33225004,0.693004523,0.282826749,1.077826814,0.972756084,0.333027121
H Erlot HRG,4,0.152653286,0.088425427,0.629371763,0.263146195,0.901740564,0.828064377,0.367991859
H Erlot PDGF,4,0.197056501,0.228784104,0.799396399,0.283272344,1.153299389,1.207526026,0.404285088
H Erlot IGF,4,0.559277414,0.536729573,1.212481781,0.714741561,1.359194934,2.491905843,0.513277838
H Erlot FGF,4,0.144930988,0.379821426,0.873782825,0.397788831,1.251453159,1.489185682,0.474695083
H Erlot HGF,4,0.959608369,0.703554854,1.030193872,1.001739343,1.23452773,1.691550469,0.784233362
