,0,0.1,0.25,1,2,5
0,6684,8166,9132,2371,1956,1573
0.1,9335,8507,9312,2655,1366,1733
0.25,9086,8754,9060,3724,2063,2218
0.5,7420,8488,7599,3928,2409,2175
1.5,7224,10040,7956,3381,1980,2100
3.5,4995,7093,6586,2853,1910,1731
8,6276,6602,8368,2796,1873,1969
20,3475,2841,3550,1345,1468,1381
0,6684,9155,7594,2229,1517,1417
0.1,9335,6073,7993,5713,2658,1842
0.25,9086,8028,9465,4668,2140,1666
0.5,7420,8821,6571,4096,2057,1200
1.5,7224,8331,8474,6502,1613,1413
3.5,4995,7043,4168,5668,1951,1372
8,6276,7485,5089,4002,1431,1770
20,3475,4351,4749,3213,1630,2160
