,0,0.1,0.25,1,2,5
0,12609,13610,14169,10173,1318,87
0.1,12211,14455,14586,11048,2494,65
0.25,13002,15061,16651,9985,2061,113
0.5,12832,14215,15594,11209,2495,130
1.5,15380,14136,15986,7889,1422,116
3.5,11568,11867,17480,6741,732,116
8,11661,11935,14773,3760,288,82
20,6092,9407,5952,194,95,56
0,9133,14484,15287,9985,1955,93
0.1,10924,11956,17009,8537,2840,114
0.25,11921,12836,16079,11555,1800,82
0.5,13671,12808,15572,12041,2631,114
1.5,13515,12952,14752,10776,1337,148
3.5,12506,14316,17282,9784,746,101
8,13237,11692,13308,5703,252,77
20,5182,5797,7453,364,89,39
