,0,0.1,0.25,1,2,5
0,6324,6001,4924,2035,1558,1612
0.1,7166,7060,6331,2460,1519,1447
0.25,6578,7153,5182,2556,1692,1537
0.5,6508,6204,4313,2351,1573,1450
1.5,6627,5256,4276,2159,1686,1309
3.5,3527,3020,2829,1920,1414,1327
8,3735,4774,4712,2293,1677,1429
20,4060,3342,3362,1491,1826,1408
0,5320,6268,5922,2911,1847,2023
0.1,6069,7166,5847,3212,2476,1659
0.25,6179,6147,5627,3382,2164,1669
0.5,6088,5640,4865,2722,1874,1732
1.5,2935,2832,2623,1832,1529,1703
3.5,2305,2841,2287,1800,1556,1256
8,2218,2519,2059,1673,1717,1409
20,2682,2616,2349,1388,1536,1244
