,0,0.1,0.25,1,2,5
0,2845,2958,2495,1329,1165,716
0.1,2709,2942,2595,1574,1267,821
0.25,3153,2894,2938,1611,1164,881
0.5,2648,2712,2517,1888,1139,986
1.5,2856,2436,1827,1395,994,977
3.5,2019,2364,1873,1379,1165,915
8,2053,2189,2024,1002,877,731
20,2434,2701,1926,1048,718,510
0,2982,2647,2314,1407,1086,979
0.1,3583,3251,2451,1397,1760,1230
0.25,2717,2800,2777,1443,1515,1214
0.5,3434,2986,2541,1391,1449,1346
1.5,1941,1988,1647,1113,1084,1172
3.5,1839,1681,1606,1108,1325,1304
8,1966,2099,1976,1338,1183,1053
20,2073,2197,1747,1128,1252,1156
