,0,0.1,0.25,1,2,5
0,1866,3400,3007,1329,1142,420
0.1,2256,3284,2552,1393,1622,420
0.25,2359,3066,2595,1551,1453,491
0.5,2106,2395,1973,1041,1295,397
1.5,1672,2125,984,1037,914,317
3.5,1238,1918,1017,880,851,359
8,858,2119,1756,589,611,224
20,1114,1516,1306,426,264,129
0,1509,1912,2411,1054,601,178
0.1,1318,2320,2622,1156,879,269
0.25,1255,1905,2314,1257,823,278
0.5,1230,1700,1881,1245,1102,295
1.5,752,960,1485,872,674,334
3.5,945,1130,1117,725,460,311
8,1046,1892,1846,1120,643,361
20,1445,1698,2277,996,655,271
