,0,0.1,0.25,1,2,5
0,22017,24303,21292,21969,19258,6013
0.1,23117,27166,23824,20740,16989,6438
0.25,24377,27631,21549,20899,15526,6254
0.5,20182,26050,22521,21226,16661,6326
1.5,18879,22221,19840,18661,14257,5336
3.5,14103,9697,9585,8188,6548,4446
8,8018,13199,16696,12250,11206,4393
20,7139,8810,10011,5029,8419,3051
0,14637,23564,22490,21427,17595,7264
0.1,23845,27008,24568,21698,14988,6543
0.25,25060,24598,25783,20895,17123,6173
0.5,22400,24117,22370,21437,15329,6062
1.5,7244,8185,6923,6263,4601,3160
3.5,6933,7364,6813,6323,3551,2290
8,6072,6773,6973,4911,3741,2360
20,12913,10849,10799,6883,4221,2220
