,0,0.1,0.25,1,2,5
0,10888,12192,11252,11373,6166,1871
0.1,11732,12760,11134,12482,6328,1841
0.25,11220,11871,10193,10023,5739,1892
0.5,12558,13700,8602,10364,5237,1800
1.5,9679,10855,4857,7229,2948,1503
3.5,5475,5230,3714,3144,1761,1166
8,3113,7036,4825,1654,1018,929
20,6005,5923,4338,1566,868,762
0,14617,13775,9877,7895,2500,1520
0.1,14146,13875,9817,7294,2060,1190
0.25,11300,9597,7484,4371,2570,1180
0.5,12793,10538,7664,6173,3460,1190
1.5,4761,3921,2620,2020,1570,1190
3.5,3821,3270,2500,1870,1650,1060
8,4051,6223,4201,2730,1920,970
20,4651,6893,5322,2860,1100,770
