,0,0.1,0.25,1,2,5
0,10630,8264,10762,8148,3332,3566
0.1,7678,10276,11995,8188,5855,3687
0.25,11044,7129,13033,13506,6495,2682
0.5,6760,11614,9543,11584,6250,4853
1.5,10612,7587,12095,7311,10933,5081
3.5,10983,12395,8740,8235,8362,4042
8,6013,11110,11390,6532,6400,2587
20,7819,9876,5697,5370,4046,2109
0,13416,12519,8877,8417,9738,3654
0.1,9727,9752,11548,10641,6899,4407
0.25,8738,10593,9514,4341,5372,4324
0.5,7927,11639,11876,9866,4928,4196
1.5,7067,8059,6706,9448,6122,3377
3.5,9570,11274,9099,7787,4604,4076
8,9181,8770,5692,5634,4652,2392
20,7234,7530,4043,3649,3466,1955
