,0,0.1,0.25,1,2,5
0,17160,11285,15759,11707,13009,4775
0.1,16214,12268,15635,15726,12690,8671
0.25,18122,14679,14595,18416,12949,7697
0.5,17042,13048,15124,16436,15572,6512
1.5,15354,14696,13984,18222,14308,11153
3.5,14912,14827,13424,17731,13349,7726
8,13286,12606,15883,15836,11759,4008
20,10929,10596,7710,6727,4157,1149
0,16729,14618,14375,14785,13554,4494
0.1,14171,9399,16626,18452,15499,3835
0.25,15977,7581,18135,16350,12125,5035
0.5,14027,5093,19817,16505,14713,3439
1.5,17111,13467,16789,13935,13145,7003
3.5,16064,6946,19138,12516,12221,2580
8,11390,13182,18208,12539,10719,1266
20,9779,7161,11836,2546,4205,282
