,0,0.1,0.2,0.4,0.8,1.4,2.5,5,10,15,30,64
0,12678,14138,20028,17509,13808,19340,14270,12786,8141,6182,5835,3662
0.1,15887,22907,23766,23122,18632,22248,22062,15656,12749,9080,8508,4421
0.25,15831,23310,32462,25841,22785,26062,26291,18793,11435,9671,8276,5736
0.5,15436,21662,28685,25076,19073,27239,31371,18017,10479,8325,7573,5024
1.5,15836,20226,22870,20506,17142,24601,25674,17385,10872,7714,7337,5223
3.5,13679,19503,23997,20059,16914,19870,22708,16638,10661,6895,7179,4333
8,9265,13056,14253,13030,9472,14850,16749,10503,6961,5731,4645,2890
20,2902,4017,4544,3959,3763,4695,5990,3923,3125,2277,1993,1281
0,8125,12500,15287,13657,11974,12084,11099,8365,5493,6015,4092,1957
0.1,12741,18300,20835,22709,15475,16351,15402,11913,7246,6304,4055,2333
0.25,13389,19847,21344,25456,15491,15949,16611,12919,8202,6830,4311,2846
0.5,13608,17186,20972,24843,14851,15986,15938,12483,7808,6815,4303,2577
1.5,13646,15886,17664,17345,12848,16929,11757,11150,7238,5266,4248,2695
3.5,11142,12233,14665,15133,10997,13843,11532,10547,5451,4333,4102,2846
8,7077,8955,10005,15408,7755,9304,7976,5550,4477,3254,2238,1431
20,2422,2728,3537,7049,3260,3066,2994,2531,2085,1442,1204,842
